month,average_price
2015-01,1.412775923427842
2015-02,0.9533057338178015
2015-03,0.7699194801183449
2015-04,0.36008986279346394
2015-05,0.145558188066174
2015-06,0.06545288122582617
2015-07,0.03870618340168994
2015-08,0.025909202412256443
2015-09,0.020563053447441217
2015-10,0.02038074856041378
2015-11,0.023035955556006106
2015-12,0.009600639295421681
2016-01,0.003092547976178548
2016-02,0.0014119214044156284
2016-03,0.001069477080513713
2016-04,0.0007021519604361618
2016-05,0.0004927045111637682
2016-06,0.0002239241274575454
2016-07,0.00011272637912790772
2016-08,5.1761957960542e-05
2016-09,3.642824599661271e-05
2016-10,1.9465359111357446e-05
2016-11,9.611485934344878e-06
2016-12,7.915383107934985e-06
2017-01,5.431431922874346e-06
2017-02,6.363449992908078e-06
2017-03,3.919749899948201e-06
2017-04,2.09760002596261e-06
2017-05,1.1215167983142534e-06
2017-06,9.517860416267756e-07
2017-07,6.427099499724744e-07
2017-08,3.3016591701213794e-07
2017-09,1.6086141271739869
2017-10,1.4802822071170667
2017-11,0.9043821718761831
2017-12,0.5549335152809021
2018-01,0.35221949201015723
2018-02,0.2294576340555822
2018-03,0.2054487903110597
2018-04,0.1575867534276314
2018-05,0.08550643438436131
2018-06,0.0386088596037125
2018-07,0.020396699287431194
2018-08,0.017874818595453378
2018-09,0.01205581631466823
2018-10,0.0066407043615639
2018-11,0.002970700298458854
2018-12,0.0010472321827949998
2019-01,0.0011732997526657262
2019-02,1.74660199081959
2019-03,3.682714722756383
2019-04,2.9492397648547577
2019-05,2.42174564484978
2019-06,1.7873022237090748
2019-07,0.7655395026372035
2019-08,0.31435075361405546
2019-09,0.2710178746740618
2019-10,0.22153015285011396
2019-11,0.16525183748749034
2019-12,0.11410204240483406
