month,average_price
2015-01,9.440220767385822
2015-02,9.194261527867637
2015-03,9.608110368866265
2015-04,10.275261822019083
2015-05,11.113457689042482
2015-06,11.970516409345453
2015-07,11.934965838217922
2015-08,13.083275343240583
2015-09,13.150878134413977
2015-10,12.995593067217646
2015-11,13.330058445481253
2015-12,13.571467743150803
2016-01,13.820463043886965
2016-02,14.745171466873595
2016-03,16.59844550150556
2016-04,18.27982455699718
2016-05,20.469364132514144
2016-06,21.6579461334606
2016-07,22.337357563019822
2016-08,23.69542621930595
2016-09,24.36240670025844
2016-10,25.594982673019427
2016-11,29.41055893450758
2016-12,32.356702876862705
2017-01,34.2284842028588
2017-02,37.270163270738664
2017-03,38.0338768724684
2017-04,37.92561646124268
2017-05,41.704400530004854
2017-06,42.874485837932134
2017-07,44.743473368631335
2017-08,47.885028416635556
2017-09,45.676353115219655
2017-10,43.709730462735486
2017-11,48.23216574678032
2017-12,53.72338041624879
2018-01,52.98684741077639
2018-02,56.26964175427709
2018-03,58.718693350889176
2018-04,65.24143425886778
2018-05,73.80841416704779
2018-06,83.12086019958409
2018-07,91.08525077463092
2018-08,102.77662340205683
2018-09,110.53344259227421
2018-10,107.59862082888857
2018-11,109.24104932032195
2018-12,108.05427552296149
2019-01,110.01558949703224
2019-02,127.73139226526595
2019-03,136.10695808156729
2019-04,137.8810488807389
2019-05,140.27846217448732
2019-06,157.08921593311433
2019-07,170.6218691281976
2019-08,163.44980230791143
2019-09,183.92308585043702
2019-10,198.04590499962686
2019-11,210.82858209061263
2019-12,200.9513351319467
