month,average_price
2015-01,51.26945609131767
2015-02,46.72305312139039
2015-03,24.029914265357046
2015-04,25.368032008893486
2015-05,25.772543699252907
2015-06,21.109015055005287
2015-07,18.808856977622636
2015-08,12.88900119652823
2015-09,10.24564775034271
2015-10,11.227782051979458
2015-11,17.90182290785068
2015-12,18.131557839995143
2016-01,21.825622783511236
2016-02,20.443484869032833
2016-03,19.86952058874848
2016-04,15.078598394032449
2016-05,12.797174216870053
2016-06,18.837262849557433
2016-07,29.954680445459935
2016-08,25.236324231536695
2016-09,21.256201851879585
2016-10,21.495481913462623
2016-11,18.612225147996043
2016-12,17.283409875703764
2017-01,13.189501494133511
2017-02,10.607498928277844
2017-03,11.755840293714558
2017-04,9.117184889046378
2017-05,7.688274271370957
2017-06,6.902704515726672
2017-07,7.0117637411712295
2017-08,8.069054566806416
2017-09,4.014165407955453
2017-10,2.1717398441797684
2017-11,1.6197018755550532
2017-12,1.8403280366461512
2018-01,1.5845474620796947
2018-02,1.2320029212824077
2018-03,0.9983993292310089
2018-04,0.11855922648784326
2018-05,-0.8787594122761869
2018-06,-1.0702731879211216
2018-07,-0.7858718979217012
2018-08,-0.6830698699517608
2018-09,-0.5803098656624823
2018-10,-0.642206315332377
2018-11,-0.8953139652939889
2018-12,-0.8900681653090469
2019-01,-0.5377259044805356
2019-02,-1.826223438965754
2019-03,-2.641658928727973
2019-04,-3.1935299518832965
2019-05,-4.154417881345055
2019-06,-6.079073667998232
2019-07,-5.467358404042058
2019-08,-4.508347630049335
2019-09,-4.906875383400038
2019-10,-4.690791596645934
2019-11,-3.3431308848516856
2019-12,-2.841416884907023
