month,average_price
2015-01,413.56155597393257
2015-02,688.4600435746717
2015-03,1260.4921536742393
2015-04,1713.2351784419923
2015-05,1668.6491184228562
2015-06,1367.8129231481628
2015-07,1654.3766690528487
2015-08,2016.1836470243506
2015-09,2300.7870940100274
2015-10,2420.0998917101306
2015-11,2385.356318451513
2015-12,2373.860872072134
2016-01,2516.917228708155
2016-02,2196.2325688076744
2016-03,1632.7435437423558
2016-04,1921.748598997247
2016-05,1713.9843191156835
2016-06,1772.296873541818
2016-07,2046.5115458602093
2016-08,2189.0743386343024
2016-09,2611.329525459261
2016-10,3594.812697223082
2016-11,3062.0547815283603
2016-12,2329.206655938921
2017-01,2462.810243077298
2017-02,2577.691966811745
2017-03,2799.046343989319
2017-04,2932.024534759174
2017-05,2426.9359798700416
2017-06,2545.2973468111563
2017-07,2406.4398688347305
2017-08,2355.942161907025
2017-09,1892.9671199295892
2017-10,2055.4786253696197
2017-11,2855.961566027516
2017-12,3857.6278335090688
2018-01,3368.599366346214
2018-02,4078.3191020271543
2018-03,4385.271668633202
2018-04,3839.6772808745363
2018-05,5183.334492501737
2018-06,4533.509141066328
2018-07,5370.01033146405
2018-08,6034.884704249138
2018-09,5344.153852240626
2018-10,5826.426133269358
2018-11,5359.967538466282
2018-12,5566.76753785396
2019-01,4985.3395710283485
2019-02,4093.4113919180118
2019-03,3750.6371841237533
2019-04,3397.4436629300953
2019-05,2680.2716470584114
2019-06,2052.260168970956
2019-07,1752.5632089560913
2019-08,1422.8334969683344
2019-09,1691.0702439271759
2019-10,1582.3113700711458
2019-11,1141.4187512314788
2019-12,898.7147284621983
