month,average_price
2015-01,1867.3138415984483
2015-02,1829.956533098582
2015-03,1586.4711558426318
2015-04,1573.2331893043026
2015-05,1642.6939443366937
2015-06,1478.4195677106172
2015-07,1315.3400570841645
2015-08,1318.00347519697
2015-09,1376.0236341819163
2015-10,1212.278569102609
2015-11,1029.9186590165684
2015-12,857.8116210069052
2016-01,927.8479567662699
2016-02,916.3570244394025
2016-03,712.3128800548386
2016-04,669.4217452505229
2016-05,660.9142023510027
2016-06,614.18373141644
2016-07,665.6789767995609
2016-08,844.8120652602438
2016-09,916.0965824807831
2016-10,858.7191550519287
2016-11,886.5123896561585
2016-12,979.8507116132336
2017-01,901.6788434326153
2017-02,806.7532616843534
2017-03,782.7250757375333
2017-04,783.8552105842198
2017-05,643.9760400310739
2017-06,608.4597086846335
2017-07,452.81147979734897
2017-08,394.1686529814651
2017-09,356.07000280827333
2017-10,355.2838038846742
2017-11,297.5669327223377
2017-12,224.4170263549079
2018-01,226.90034465939115
2018-02,212.63164706451516
2018-03,157.47595597780835
2018-04,122.56143426635609
2018-05,116.18121146755992
2018-06,111.46694009074206
2018-07,117.66486058138872
2018-08,113.30327878058316
2018-09,104.34011567762703
2018-10,96.67334475914716
2018-11,92.60607276121821
2018-12,96.0089457566889
2019-01,91.28597489169462
2019-02,71.06835317975282
2019-03,62.43664014721336
2019-04,67.09328746290088
2019-05,59.15033220560183
2019-06,45.58547204209389
2019-07,49.17603127111768
2019-08,51.51977030061498
2019-09,51.86173840714024
2019-10,36.24387165568605
2019-11,28.426715481031177
2019-12,29.04690795259752
